States,Rate
Andhra Pradesh,96.2
Arunachal Pradesh,44.4
Assam,81.2
Bihar,33.5
Chhattisgarh,58.2
Goa,35.1
Gujarat,22.9
Haryana,118.7
Himachal Pradesh,42.3
Jharkhand,40.2
Karnataka,53.6
Kerala,82.0
Madhya Pradesh,78.8
Maharashtra,75.1
Manipur,15.6
Meghalaya,41.6
Mizoram,24.1
Nagaland,4.6
Odisha,103.3
Punjab,38.4
Rajasthan,115.1
Sikkim,55.4
Tamil Nadu,24.0
Telangana,117.0
Tripura,37.1
Uttar Pradesh,58.6
Uttarakhand,77.0
West Bengal,71.8
TOTAL STATE(S),65.4
A&N Islands,93.7
Chandigarh,57.7
D&N Haveli and Daman & Diu,30.4
Delhi,144.4
Jammu & Kashmir,57.6
Ladakh,11.5
Lakshadweep,48.5
Puducherry,23.6
