State,MissingChildrenPer100k
Andhra Pradesh,8.15
Arunachal Pradesh,1.01
Assam,3.84
Bihar,5.77
Chhattisgarh,13.41
Goa,1.78
Gujarat,3.07
Haryana,10.41
Himachal Pradesh,5.40
Jharkhand,1.23
Karnataka,1.82
Kerala,5.39
Madhya Pradesh,15.64
Maharashtra,2.73
Manipur,2.33
Meghalaya,0.84
Mizoram,0.09
Nagaland,2.07
Odisha,11.34
Punjab,4.01
Rajasthan,9.04
Sikkim,2.62
Tamil Nadu,9.72
Telangana,9.84
Tripura,3.43
Uttar Pradesh,1.70
Uttarakhand,6.44
West Bengal,13.64
A&N Islands,9.72
Chandigarh,15.92
D&N Haveli and Daman & Diu,1.88
Delhi,36.59
Jammu & Kashmir,2.76
Ladakh,0.00
Lakshadweep,0.00
Puducherry,3.04
